id,compound_name,is_super,slug,properties_count,image_url,min_price,max_price,min_unit_area,max_unit_area,available_bathrooms,available_bedrooms,developer_id,developer_name,developer_logo,area_id,area_name,sponsored,max_installment_years,min_down_payment,min_ready_by,properties_ids,sum_10_properties_min_price,lat,long,has_offer,has_launches,is_launch,offer_title,limited_time_offer,property_types,property_types_count
195,Mountain View ICity New Cairo,True,195-mountain-view-icity-new-cairo,7,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1109/medium_9FUwiPzCVGKUYDSGWiooLCRPNRBqoc.jpg,7584822,14559080,130,295,[3],[3],6,DMG,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/6/DMG.jpg,2,New Cairo,0,9,758483,2027-01-01,"[35486, 35487, 35489, 35490, 35495, 35497, 35502]",117896389,30.06518157,31.5935075,False,False,False,"5% Down Payment , instalments up to 9 years",True,"['Apartment', 'Villa', 'Townhouse', 'Duplex', 'Penthouse']","[{'id': 21, 'name': 'Apartment', 'count': 41, 'total': 41, 'rank': 1}, {'id': 1, 'name': 'Villa', 'count': 6, 'total': 6, 'rank': 2}, {'id': 7, 'name': 'Townhouse', 'count': 2, 'total': 2, 'rank': 4}, {'id': 3, 'name': 'Duplex', 'count': 14, 'total': 14, 'rank': 5}, {'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}]"
274,ZED ,True,274-zed-el-sheikh-zayed-ora,7,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1756/medium_4v3a3ATaPMrzcl1VKlbflv2xfqdlz4.jpg,10273202,20284992,160,301,"[3, 4]","[3, 4]",85,Ora Developers,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/85/Ora.jpg,26,El Sheikh Zayed,0,8,513661,2024-10-31,"[41998, 41999, 42002, 42110, 42111, 42217, 42528]",129709414,30.0466084,31.00310115,False,False,False,,True,"['Apartment', 'Duplex', 'Penthouse', 'Studio']","[{'id': 21, 'name': 'Apartment', 'count': 10, 'total': 10, 'rank': 1}, {'id': 3, 'name': 'Duplex', 'count': 1, 'total': 1, 'rank': 5}, {'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}, {'id': 9, 'name': 'Studio', 'count': 1, 'total': 1, 'rank': 8}]"
202,Bloomfields ,True,202-bloomfields-tatweer-misr-mostakbal-city,76,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1226/medium_pVJ781bCSgxCPxkUU6GOezo8PZrxee.jpg,3664000,16210000,70,287,"[1, 2, 3, 4]","[1, 2, 3, 4]",33,Tatweer Misr,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/33/Tatweer_Misr.jpg,10,Mostakbal City,0,8,209350,2023-12-30,"[17436, 31836, 31839, 31844, 31847, 31848, 31849, 31852, 31853, 31854]",35147621,30.07020759,31.64958959,False,False,False,,True,"['Apartment', 'Duplex', 'Studio']","[{'id': 21, 'name': 'Apartment', 'count': 76, 'total': 76, 'rank': 1}, {'id': 3, 'name': 'Duplex', 'count': 12, 'total': 12, 'rank': 5}, {'id': 9, 'name': 'Studio', 'count': 3, 'total': 3, 'rank': 8}]"
223,Badya ,True,223-badya-palm-hills,42,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/2598/medium_83UEFd4hE4AdEzz23ZzmNDJpGupVr7.jpg,4782600,31084000,107,499,"[2, 3, 4, 6, 7, 8]","[2, 3, 4, 5, 6]",16,Palm Hills Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/16/Palm_Hills.jpg,1,6th of October City,0,10,0,2023-11-29,"[9742, 11180, 13044, 16026, 19171, 19199, 19613, 19662, 26455, 26456]",44446502,29.85478852,30.90711593,False,False,False,,True,"['Apartment', 'Villa', 'Townhouse', 'Penthouse', 'Studio']","[{'id': 21, 'name': 'Apartment', 'count': 48, 'total': 48, 'rank': 1}, {'id': 1, 'name': 'Villa', 'count': 13, 'total': 13, 'rank': 2}, {'id': 7, 'name': 'Townhouse', 'count': 2, 'total': 2, 'rank': 4}, {'id': 4, 'name': 'Penthouse', 'count': 3, 'total': 3, 'rank': 6}, {'id': 9, 'name': 'Studio', 'count': 1, 'total': 1, 'rank': 8}]"
148,Palm Hills New Cairo,True,148-palm-hills-new-cairo,7,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/3925/medium_5.jpg,18886000,72968000,190,611,"[4, 7, 8]","[3, 4, 6]",16,Palm Hills Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/16/Palm_Hills.jpg,2,New Cairo,0,9,944300,2022-12-30,"[22676, 23315, 28769, 28770, 32932, 37716, 42215]",487964000,30.05965847,31.5986404,False,False,False,,True,"['Apartment', 'Villa', 'Twinhouse', 'Townhouse']","[{'id': 21, 'name': 'Apartment', 'count': 13, 'total': 13, 'rank': 1}, {'id': 1, 'name': 'Villa', 'count': 12, 'total': 12, 'rank': 2}, {'id': 6, 'name': 'Twinhouse', 'count': 3, 'total': 3, 'rank': 3}, {'id': 7, 'name': 'Townhouse', 'count': 1, 'total': 1, 'rank': 4}]"
345,ZED East,False,345-zed-east,20,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/2023/medium_arIyegCDhxXdK3fqhP7CYG3oYjumR9.jpg,5695000,47013000,76,387,"[0, 1, 3, 5]","[0, 1, 2, 3, 4]",85,Ora Developers,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/85/Ora.jpg,2,New Cairo,0,8,284750,2025-08-21,"[10737, 10739, 37474, 37475, 37476, 37479, 37480, 37481, 37482, 37836]",102860000,29.97580103,31.57048426,False,False,False,,True,"['Apartment', 'Duplex', 'Office']","[{'id': 21, 'name': 'Apartment', 'count': 30, 'total': 30, 'rank': 1}, {'id': 3, 'name': 'Duplex', 'count': 4, 'total': 4, 'rank': 5}, {'id': 8, 'name': 'Office', 'count': 6, 'total': 6, 'rank': 10}]"
422,Mountain View iCity October,True,422-mountain-view-icity-october,5,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/3575/medium_4.jpg,7604330,10626079,175,220,"[2, 3]","[2, 3, 4]",6,DMG,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/6/DMG.jpg,1,6th of October City,0,8,1520866,2024-10-30,"[33462, 33517, 33777, 33794, 33932]",44347013,29.99857739,30.92968941,False,False,False,,True,"['Apartment', 'Duplex']","[{'id': 21, 'name': 'Apartment', 'count': 22, 'total': 22, 'rank': 1}, {'id': 3, 'name': 'Duplex', 'count': 5, 'total': 5, 'rank': 5}]"
176,SODIC East,True,176-sodic-east,25,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1078/medium_88s6BHjqg4Nt1SaCPvc6japMI9TyDh.jpg,6075000,29956000,125,392,"[3, 4, 5]","[2, 3, 4]",8,SODIC,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/8/Sodic.jpg,16,New Heliopolis,0,8,303750,2027-08-30,"[39121, 39123, 39127, 39128, 39129, 39130, 39131, 39132, 39133, 39134]",65870000,30.16053008,31.66792182,False,False,False,,True,"['Apartment', 'Villa', 'Twinhouse', 'Townhouse', 'Duplex']","[{'id': 21, 'name': 'Apartment', 'count': 21, 'total': 21, 'rank': 1}, {'id': 1, 'name': 'Villa', 'count': 6, 'total': 6, 'rank': 2}, {'id': 6, 'name': 'Twinhouse', 'count': 3, 'total': 3, 'rank': 3}, {'id': 7, 'name': 'Townhouse', 'count': 4, 'total': 4, 'rank': 4}, {'id': 3, 'name': 'Duplex', 'count': 1, 'total': 1, 'rank': 5}]"
222,DISTRICT 5,True,222-di5trict-district-5,16,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1595/medium_kJUXSo24gg8Ip4IOEIZdmQnACRdIUV.jpg,7935000,18920000,81,218,"[2, 3]","[1, 2, 3]",65,Marakez,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/65/Marakez.jpg,2,New Cairo,0,7,793500,2027-06-30,"[33445, 42432, 42433, 42435, 42436, 42437, 42438, 42439, 42440, 42441]",135351000,29.95127184,31.45042583,False,False,False,,True,"['Apartment', 'Townhouse', 'Duplex', 'Penthouse']","[{'id': 21, 'name': 'Apartment', 'count': 19, 'total': 19, 'rank': 1}, {'id': 7, 'name': 'Townhouse', 'count': 1, 'total': 1, 'rank': 4}, {'id': 3, 'name': 'Duplex', 'count': 2, 'total': 2, 'rank': 5}, {'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}]"
90,Il Monte Galala,True,90-il-monte-galala,12,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/6828/medium_Screenshot_1.png,7028000,29220000,95,255,"[2, 3, 4]","[2, 3, 4]",33,Tatweer Misr,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/33/Tatweer_Misr.jpg,4,Ain Sokhna,0,8,702800,2027-01-01,"[31767, 38920, 38921, 38923, 38928, 38929, 39392, 39396, 39397, 39398]",83162000,29.50067982,32.41215316,False,False,False,,True,"['Villa', 'Twinhouse', 'Townhouse', 'Chalet', 'Studio']","[{'id': 1, 'name': 'Villa', 'count': 8, 'total': 8, 'rank': 2}, {'id': 6, 'name': 'Twinhouse', 'count': 5, 'total': 5, 'rank': 3}, {'id': 7, 'name': 'Townhouse', 'count': 2, 'total': 2, 'rank': 4}, {'id': 5, 'name': 'Chalet', 'count': 27, 'total': 27, 'rank': 7}, {'id': 9, 'name': 'Studio', 'count': 1, 'total': 1, 'rank': 8}]"
